ID	10p	10q	11p	11q	12p	12q	13q	14q	15q	16p	16q	17p	17q	18p	18q	19p	19q	1p	1q	20p	20q	21p	21q	22q	2p	2q	3p	3q	4p	4q	5p	5q	6p	6q	7p	7q	8p	8q	9p	9q	Xp	Xq
SAMPLE_1	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	LOWCOV	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NC	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL
SAMPLE_10	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	LOWCOV	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	LOWCOV	LOWCOV	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL
SAMPLE_2	DEL	DEL	NEUTRAL	NEUTRAL	NEUTRAL	DEL	DEL	NEUTRAL	DEL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	LOWCOV	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	AMP	AMP	LOWCOV	LOWCOV	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	AMP	AMP	NEUTRAL	NEUTRAL	AMP	AMP	AMP	AMP	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL
SAMPLE_3	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	DEL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NC	LOWCOV	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	LOWCOV	LOWCOV	NEUTRAL	AMP	AMP	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	DEL
SAMPLE_4	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NC	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	DEL	DEL	NEUTRAL	NEUTRAL	NEUTRAL	LOWCOV	NEUTRAL	NC	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL
SAMPLE_5	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	DEL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	LOWCOV	NEUTRAL	NEUTRAL	DEL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	LOWCOV	LOWCOV	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL
SAMPLE_6	AMP	NC	NEUTRAL	LOWCOV	NEUTRAL	NEUTRAL	AMP	LOWCOV	NC	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	LOWCOV	NEUTRAL	NEUTRAL	NC	NC	NC	LOWCOV	NEUTRAL	LOWCOV	LOWCOV	NEUTRAL	NEUTRAL	LOWCOV	NEUTRAL	NC	AMP	NC	NEUTRAL	NC	LOWCOV	LOWCOV	NC	NC	NEUTRAL	NEUTRAL	NC	NC	NC	NEUTRAL
SAMPLE_7	DEL	DEL	DEL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	DEL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NC	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NC	NC	NEUTRAL	NEUTRAL	LOWCOV	NEUTRAL	NC	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	AMP	DEL	NEUTRAL	NC	NEUTRAL	NEUTRAL	NC	AMP	NEUTRAL	NEUTRAL	NC	AMP	NEUTRAL	NEUTRAL
SAMPLE_8	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	LOWCOV	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	LOWCOV	NEUTRAL	AMP	AMP	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL
SAMPLE_9	NEUTRAL	DEL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	DEL	NC	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	LOWCOV	LOWCOV	NEUTRAL	LOWCOV	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	LOWCOV	LOWCOV	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	NEUTRAL	AMP	LOWCOV	NEUTRAL	NEUTRAL	LOWCOV	LOWCOV	NEUTRAL	NEUTRAL
