ID	10p	10q	11p	11q	12p	12q	13q	14q	15q	16p	16q	17p	17q	18p	18q	19p	19q	1p	1q	20p	20q	21p	21q	22q	2p	2q	3p	3q	4p	4q	5p	5q	6p	6q	7p	7q	8p	8q	9p	9q	Xp	Xq
SAMPLE_1	0.0844	0.0844	-0.0043	-0.0043	0.0544	0.0544	0.0729	0.0163	0.0567	-0.003	-0.0088	-0.0086	-0.0086	0.0127	0.0127	-0.0254	0.0663	0.01	0.01	0.0314	0.0314	-0.0174	-0.0174	-0.0113	0.0764	0.0314	0.0513	0.0513	0.0951	0.0951	0.1121	0.0661	-0.1052	0.0014	0.0369	0.0369	0.0616	0.0616	0.0219	0.024	0.0552	0.0367
SAMPLE_10	0.0063	0.0063	-0.0023	-0.0023	-0.0301	0.039	0.0131	-0.0036	-0.0428	0.0636	0.0734	0.0203	0.0203	NA	0.0092	0.0283	0.0455	0.0055	0.0055	0.0077	0.0077	NA	0.0531	0.0311	0.0516	0.0516	-0.0584	-0.0234	-0.0332	-0.0332	0.0225	0.0225	0.0189	0.019	0.0324	0.0245	0.0269	-0.0339	0.0173	0.0173	-0.0513	-0.0513
SAMPLE_2	-0.7507	-0.6751	-0.0985	-0.0985	-0.1336	-0.1608	-0.2644	-0.0078	-0.331	0.0175	0.0175	0.0406	0.0406	NA	-0.122	-7e-04	-0.0221	0.0175	-0.0175	0.3443	0.3443	NA	-0.0708	0.0423	0.0465	0.0465	-0.0469	-0.0469	-0.0511	-0.0511	0.3122	0.3445	-0.0173	-0.0173	0.7941	0.7121	0.2343	0.2691	-0.0322	-0.0341	0.0272	-0.0689
SAMPLE_3	-0.0516	-0.0262	-0.0416	-0.0859	-0.0241	-0.0241	-0.0657	-0.8143	-0.0219	-0.0664	-0.0966	-0.0212	0.2731	NA	-0.052	0.0041	-0.0307	-0.0199	0.1587	-0.0153	-0.0153	NA	0.0295	-0.0175	0.4978	0.4978	-0.0692	-0.0359	0.0025	0.0025	-0.0053	-0.0053	-0.0178	-0.0178	-0.0716	-0.0716	0.011	0.011	-0.0585	-0.0585	-0.0072	-0.1233
SAMPLE_4	0.0513	0.0513	0.0116	-0.0488	0.0913	0.0913	0.012	-0.0865	0.1354	0.0807	0.0807	0.0864	0.0864	0.0784	0.0784	-0.0349	-0.5161	-0.6005	-0.0741	-0.1624	0.1158	0.051	0.051	0.101	0.0094	0.0094	0.0194	0.0194	0.0906	0.0906	0.0614	0.0614	-0.0033	0.0754	0.0327	0.0327	0.0132	0.0132	-0.1134	-0.0466	0.0433	0.0433
SAMPLE_5	-2e-04	-2e-04	0.0233	0.0283	0.0195	0.0195	-0.2598	-0.0997	0.042	0.0349	0.0822	0.0672	0.073	NA	-0.0647	0.0738	-0.34	0.0207	0.0122	0.0839	0.0839	NA	-0.1166	-0.1065	-0.0213	-0.0213	0.0296	0.031	0.0047	0.0047	-0.004	-0.004	0.0101	0.0112	0.0533	0.0533	-0.0014	-0.0014	-0.1309	0.0251	0.03	-0.1057
SAMPLE_6	0.271	0.0448	0.1207	0.0634	0.1073	0.0981	0.2185	0.033	-0.0285	-0.1481	-0.015	0.0244	0.0742	NA	0.0839	-0.026	-0.1315	-0.0183	0.1289	0.2518	-0.0354	NA	-0.3991	-0.0212	0.0656	0.1127	-0.0146	-0.4759	0.4219	-0.1345	-0.0695	0.0963	0.0861	-0.0554	0.2191	0.2164	-0.0223	0.0805	-0.4024	0.1893	0.1438	0.0601
SAMPLE_7	-0.4378	-0.4378	-0.4038	-0.0861	0.1477	0.1477	-0.0589	-0.5179	0.0105	0.0302	0.0306	0.048	-0.1189	0.0084	0.0084	0.0658	0.0658	-0.0517	0.103	0.0514	0.0514	0.0145	0.0145	0.1397	0.1367	0.0756	0.0638	0.0833	0.2916	-0.2796	0.0162	-0.0815	0.0759	-0.0227	0.0563	0.2761	0.0181	0.0181	-0.4057	0.2385	-0.0627	-0.0629
SAMPLE_8	0.0192	0.0192	0.0611	0.0611	0.1079	0.1079	0.0435	-0.0357	0.0084	-0.0538	-0.0536	-0.0645	-0.0645	-0.0478	-0.0478	0.0506	0.0506	0.0256	0.0256	0.1543	0.1543	-0.0217	-0.0217	0.0159	0.0239	0.0239	-0.0228	-0.0228	-0.0423	-0.0423	-0.0302	-0.0018	0.0256	0.0256	0.2252	0.2252	-0.025	-0.025	-0.036	-0.0356	-0.0061	-0.0061
SAMPLE_9	0.0365	-0.5714	0.0151	0.0151	0.0472	-0.0069	-0.5948	-0.2742	0.0236	0.0787	0.0205	0.0371	0.048	NA	0.2511	0.0293	-0.5522	-0.0617	0.045	0.0799	0.0799	NA	0.076	0.0389	0.0299	0.1268	0.0414	0.0641	0.0464	-0.0682	-0.028	0.1121	-0.0112	-0.0105	0.5507	0.3901	-0.0045	0.0432	-0.5436	0.2141	0.0014	0.0183
