chrom	arm	side	start	end
1	1p	p	0	123400000
1	1q	q	123400000	248956422
10	10p	p	0	39800000
10	10q	q	39800000	133797422
11	11p	p	0	53400000
11	11q	q	53400000	135086622
12	12p	p	0	35500000
12	12q	q	35500000	133275309
13	13p	p	0	17700000
13	13q	q	17700000	114364328
14	14p	p	0	17200000
14	14q	q	17200000	107043718
15	15p	p	0	19000000
15	15q	q	19000000	101991189
16	16p	p	0	36800000
16	16q	q	36800000	90338345
17	17p	p	0	25100000
17	17q	q	25100000	83257441
18	18p	p	0	18500000
18	18q	q	18500000	80373285
19	19p	p	0	26200000
19	19q	q	26200000	58617616
2	2p	p	0	93900000
2	2q	q	93900000	242193529
20	20p	p	0	28100000
20	20q	q	28100000	64444167
21	21p	p	0	12000000
21	21q	q	12000000	46709983
22	22p	p	0	15000000
22	22q	q	15000000	50818468
3	3p	p	0	90900000
3	3q	q	90900000	198295559
4	4p	p	0	50000000
4	4q	q	50000000	190214555
5	5p	p	0	48800000
5	5q	q	48800000	181538259
6	6p	p	0	59800000
6	6q	q	59800000	170805979
7	7p	p	0	60100000
7	7q	q	60100000	159345973
8	8p	p	0	45200000
8	8q	q	45200000	145138636
9	9p	p	0	43000000
9	9q	q	43000000	138394717
X	Xp	p	0	61000000
X	Xq	q	61000000	156040895
Y	Yp	p	0	10400000
Y	Yq	q	10400000	57227415
