chrom	side	arm	start	end
1	p	1p	0	1.25e+08
1	q	1q	1.25e+08	249250621
10	p	10p	0	40200000
10	q	10q	40200000	135534747
11	p	11p	0	53700000
11	q	11q	53700000	135006516
12	p	12p	0	35800000
12	q	12q	35800000	133851895
13	p	13p	0	17900000
13	q	13q	17900000	115169878
14	p	14p	0	17600000
14	q	14q	17600000	107349540
15	p	15p	0	1.9e+07
15	q	15q	1.9e+07	102531392
16	p	16p	0	36600000
16	q	16q	36600000	90354753
17	p	17p	0	2.4e+07
17	q	17q	2.4e+07	81195210
18	p	18p	0	17200000
18	q	18q	17200000	78077248
19	p	19p	0	26500000
19	q	19q	26500000	59128983
2	p	2p	0	93300000
2	q	2q	93300000	243199373
20	p	20p	0	27500000
20	q	20q	27500000	63025520
21	p	21p	0	13200000
21	q	21q	13200000	48129895
22	p	22p	0	14700000
22	q	22q	14700000	51304566
3	p	3p	0	9.1e+07
3	q	3q	9.1e+07	198022430
4	p	4p	0	50400000
4	q	4q	50400000	191154276
5	p	5p	0	48400000
5	q	5q	48400000	180915260
6	p	6p	0	6.1e+07
6	q	6q	6.1e+07	171115067
7	p	7p	0	59900000
7	q	7q	59900000	159138663
8	p	8p	0	45600000
8	q	8q	45600000	146364022
9	p	9p	0	4.9e+07
9	q	9q	4.9e+07	141213431
X	p	Xp	0	60600000
X	q	Xq	60600000	155270560
Y	p	Yp	0	12500000
Y	q	Yq	12500000	59373566
