sample	interval	gene_exon	log2ratio
SAMPLE_1	1:100878287-100878466	.	0.378287016
SAMPLE_1	1:103222455-103222634	.	0.009728932
SAMPLE_1	1:105566584-105566763	.	-0.022507602
SAMPLE_1	1:107910762-107910941	.	-0.04565576
SAMPLE_1	1:110254881-110255024	.	-0.027334437
SAMPLE_1	1:110255182-110255373	.	0.156875439
SAMPLE_1	1:110255689-110255856	.	-0.004696236
SAMPLE_1	1:110255998-110256235	.	-0.052841525
SAMPLE_1	1:110256236-110256440	.	-0.062481954
SAMPLE_1	1:110257521-110257712	.	-0.062990169
SAMPLE_1	1:110257746-110258033	.	0.077554592
SAMPLE_1	1:110259908-110260099	.	0.217146858
SAMPLE_1	1:11167442-11167657	.	-0.053873778
SAMPLE_1	1:11168183-11168398	.	0.42089951
SAMPLE_1	1:11169291-11169482	.	0.300773144
SAMPLE_1	1:11169650-11169841	.	0.077659168
SAMPLE_1	1:11172858-11173025	.	0.258294869
SAMPLE_1	1:11174323-11174562	.	-0.00205112
SAMPLE_1	1:11174811-11175002	.	0.21679427
SAMPLE_1	1:11175393-11175584	.	0.28590378
SAMPLE_1	1:11177006-11177197	.	0.216855656
SAMPLE_1	1:11181244-11181483	.	0.185546456
SAMPLE_1	1:11181978-11182241	.	-0.134611598
SAMPLE_1	1:11184503-11184742	.	0.066984518
SAMPLE_1	1:11186622-11186909	.	0.093276547
SAMPLE_1	1:11187014-11187253	.	0.09237743
SAMPLE_1	1:11187628-11187915	.	0.110129241
SAMPLE_1	1:11188002-11188241	.	0.184736621
SAMPLE_1	1:11188452-11188667	.	-0.031077275
SAMPLE_1	1:11188852-11189067	.	0.027319715
SAMPLE_1	1:11189737-11189952	.	-0.069062633
SAMPLE_1	1:11190578-11190841	.	0.035921946
SAMPLE_1	1:11193088-11193303	.	0.250273772
SAMPLE_1	1:11194358-11194573	.	0.208353204
SAMPLE_1	1:11199307-11199540	.	-0.035414363
SAMPLE_1	1:11199541-11199772	.	-0.081084309
SAMPLE_1	1:11204651-11204866	.	0.112204021
SAMPLE_1	1:11204968-11205159	.	0.300203109
SAMPLE_1	1:11206683-11206898	.	0.07905283
SAMPLE_1	1:11210125-11210340	.	-0.221352392
SAMPLE_1	1:11217159-11217398	.	-0.055727422
SAMPLE_1	1:11227441-11227632	.	0.179856978
SAMPLE_1	1:11259256-11259519	.	-0.081430945
SAMPLE_1	1:11259547-11259810	.	-0.069434914
SAMPLE_1	1:11264569-11264808	.	-0.05836512
SAMPLE_1	1:11269310-11269573	.	0.178576724
SAMPLE_1	1:11270821-11271012	.	0.386198763
SAMPLE_1	1:11272318-11272581	.	0.061414065
SAMPLE_1	1:11272801-11273016	.	-0.052253565
SAMPLE_1	1:11273408-11273671	.	0.01296923
SAMPLE_1	1:11276152-11276343	.	0.542721582
SAMPLE_1	1:11288718-11288981	.	-0.090521336
SAMPLE_1	1:11290927-11291166	.	-0.067529902
SAMPLE_1	1:11291304-11291543	.	0.079633881
SAMPLE_1	1:11292443-11292634	.	0.424467796
SAMPLE_1	1:11293404-11293595	.	0.016904222
SAMPLE_1	1:11294141-11294380	.	-0.048376189
SAMPLE_1	1:11297847-11298158	.	0.15043831
SAMPLE_1	1:11298411-11298722	.	0.032559958
SAMPLE_1	1:11300350-11300613	.	-0.003241483
SAMPLE_1	1:11301554-11301793	.	-0.009880123
SAMPLE_1	1:11303120-11303407	.	-0.120976726
SAMPLE_1	1:11307628-11307843	.	0.005894569
SAMPLE_1	1:11307870-11308157	.	-0.068587853
SAMPLE_1	1:11313843-11314082	.	0.10322132
SAMPLE_1	1:11315993-11316304	.	-0.038074412
SAMPLE_1	1:11316986-11317225	.	-0.147875565
SAMPLE_1	1:11318488-11318703	.	0.274291352
SAMPLE_1	1:11319254-11319517	.	-0.194425738
SAMPLE_1	1:115251108-115251323	.	-0.051279854
SAMPLE_1	1:115252138-115252401	.	0.021680791
SAMPLE_1	1:115256366-115256653	.	-0.245950146
SAMPLE_1	1:115258618-115258833	.	0.065796223
SAMPLE_1	1:117057332-117057547	.	0.120012829
SAMPLE_1	1:117061797-117062028	.	0.145901332
SAMPLE_1	1:117064462-117064653	.	0.226653327
SAMPLE_1	1:117078587-117078850	.	-0.135040136
SAMPLE_1	1:117086924-117087235	.	0.195664698
SAMPLE_1	1:117113470-117113649	.	0.163583582
SAMPLE_1	1:118165491-118165658	.	0.19571698
SAMPLE_1	1:118165659-118165826	.	0.152303538
SAMPLE_1	1:118165827-118165994	.	0.046218777
SAMPLE_1	1:118165995-118166162	.	-0.123380841
SAMPLE_1	1:118166163-118166330	.	-0.013256152
SAMPLE_1	1:118166331-118166498	.	-0.021854501
SAMPLE_1	1:118166499-118166666	.	0.091401471
SAMPLE_1	1:120457927-120459318	.	-0.12822577
SAMPLE_1	1:120460229-120460444	.	0.10431928
SAMPLE_1	1:120460971-120461234	.	-0.149179745
SAMPLE_1	1:120461930-120462241	.	-0.252887077
SAMPLE_1	1:120462792-120463079	.	-0.001353273
SAMPLE_1	1:120464276-120464491	.	-0.037046375
SAMPLE_1	1:120464808-120465119	.	-0.078530456
SAMPLE_1	1:120465210-120465449	.	0.108064954
SAMPLE_1	1:120466254-120466613	.	-0.0256065
SAMPLE_1	1:120467917-120468444	.	-0.116183986
SAMPLE_1	1:120469070-120469285	.	-0.048403245
SAMPLE_1	1:120471597-120471836	.	0.189399886
SAMPLE_1	1:120478041-120478280	.	-0.031045403
SAMPLE_1	1:120479853-120480140	.	0.089155278
SAMPLE_1	1:120480425-120480688	.	-0.151222358
SAMPLE_1	1:120483123-120483434	.	0.021020149
SAMPLE_1	1:120484143-120484382	.	-0.051999726
SAMPLE_1	1:120490981-120491244	.	-0.074341784
SAMPLE_1	1:120491582-120491797	.	0.123142652
SAMPLE_1	1:120493296-120493511	.	0.138657128
SAMPLE_1	1:120496107-120496370	.	-0.148220902
SAMPLE_1	1:120497603-120497914	.	0.006428885
SAMPLE_1	1:120501962-120502177	.	0.153946221
SAMPLE_1	1:120506194-120506433	.	-0.044020716
SAMPLE_1	1:120508025-120508240	.	-0.016185699
SAMPLE_1	1:120508948-120509163	.	-0.077282549
SAMPLE_1	1:120510006-120510293	.	0.047096671
SAMPLE_1	1:120510646-120510909	.	-0.085995388
SAMPLE_1	1:120512131-120512370	.	-0.007825857
SAMPLE_1	1:120529524-120529763	.	0.013801689
SAMPLE_1	1:120539620-120539955	.	-0.058927486
SAMPLE_1	1:120547950-120548213	.	-0.189760874
SAMPLE_1	1:120572474-120572665	.	-0.132026171
SAMPLE_1	1:120611888-120612079	.	0.100078483
SAMPLE_1	1:121351289-121351468	.	-0.068659123
SAMPLE_1	1:142544042-142544221	.	-0.230947803
SAMPLE_1	1:144545425-144545544	.	-0.208779505
SAMPLE_1	1:146546942-146547121	.	-0.130738909
SAMPLE_1	1:148548793-148548972	.	0.29036061
SAMPLE_1	1:150549784-150550023	.	0.034310797
SAMPLE_1	1:150550712-150550975	.	0.108597066
SAMPLE_1	1:150551315-150551488	.	-0.189583205
SAMPLE_1	1:150551489-150551662	.	0.005996451
SAMPLE_1	1:150551663-150551836	.	0.732290923
SAMPLE_1	1:150551837-150552010	.	0.083593488
SAMPLE_1	1:153920575-153920814	.	0.100257517
SAMPLE_1	1:153920883-153921170	.	0.189961775
SAMPLE_1	1:153921263-153921478	.	-0.074798113
SAMPLE_1	1:153921582-153921869	.	-0.133518873
SAMPLE_1	1:153923735-153924142	.	-0.231559918
SAMPLE_1	1:153924484-153924747	.	-0.307558187
SAMPLE_1	1:153924814-153924981	.	-0.193909756
SAMPLE_1	1:153924995-153925162	.	0.242744135
SAMPLE_1	1:153925224-153925367	.	-0.051961677
SAMPLE_1	1:153925686-153925901	.	-0.550394289
SAMPLE_1	1:153925964-153926131	.	0.035657665
SAMPLE_1	1:153926678-153926845	.	-0.021987363
SAMPLE_1	1:153927300-153927502	.	0.015215305
SAMPLE_1	1:153927503-153927699	.	0.122542598
SAMPLE_1	1:153930765-153931028	.	-0.204746514
SAMPLE_1	1:156785518-156785733	.	-0.159035124
SAMPLE_1	1:156811821-156812036	.	-0.143085265
SAMPLE_1	1:156830677-156830988	.	-0.123112474
SAMPLE_1	1:156834087-156834278	.	-0.060748291
SAMPLE_1	1:156834472-156834639	.	-0.238673378
SAMPLE_1	1:156836652-156836819	.	0.20599416
SAMPLE_1	1:156837837-156838100	.	-0.175528828
SAMPLE_1	1:156838248-156838487	.	-0.316799994
SAMPLE_1	1:156841361-156841600	.	-0.247907813
SAMPLE_1	1:156843420-156843755	.	0.222003533
SAMPLE_1	1:156843756-156844075	.	-0.125022485
SAMPLE_1	1:156844076-156844291	.	-0.081006167
SAMPLE_1	1:156844292-156844306	.	0.318242034
SAMPLE_1	1:156844307-156844474	.	0.009296097
SAMPLE_1	1:156844641-156844856	.	0.138013246
SAMPLE_1	1:156844857-156845252	.	-0.170173272
SAMPLE_1	1:156845253-156845516	.	0.043853954
SAMPLE_1	1:156845813-156846052	.	0.10764297
SAMPLE_1	1:156846134-156846421	.	-0.193639927
SAMPLE_1	1:156848902-156849165	.	0.04799008
SAMPLE_1	1:156849738-156850001	.	0.200856588
SAMPLE_1	1:156851198-156851485	.	-0.052615199
SAMPLE_1	1:161284098-161284313	.	0.145339264
SAMPLE_1	1:161293336-161293503	.	0.062223516
SAMPLE_1	1:161298129-161298344	.	-0.142357841
SAMPLE_1	1:161309292-161309435	.	-0.36811135
SAMPLE_1	1:161310331-161310498	.	-0.023685629
SAMPLE_1	1:161326417-161326680	.	0.263890282
SAMPLE_1	1:161332069-161332380	.	-0.150024719
SAMPLE_1	1:162688799-162688990	.	0.211551606
SAMPLE_1	1:162722828-162723043	.	-0.144578917
