arm	chrom	start	end
1p36.33	1	0	2300000
1p36.32	1	2300000	5300000
1p36.31	1	5300000	7100000
1p36.23	1	7100000	9200000
1p36.22	1	9200000	12600000
1p36.21	1	12600000	16100000
1p36.13	1	16100000	20300000
1p36.12	1	20300000	23800000
1p36.11	1	23800000	27800000
1p35.3	1	27800000	30000000
1p35.2	1	30000000	32200000
1p35.1	1	32200000	34400000
1p34.3	1	34400000	39600000
1p34.2	1	39600000	43900000
1p34.1	1	43900000	46500000
1p33	1	46500000	51300000
1p32.3	1	51300000	56200000
1p32.2	1	56200000	58700000
1p32.1	1	58700000	60900000
1p31.3	1	60900000	68700000
1p31.2	1	68700000	69500000
1p31.1	1	69500000	84700000
1p22.3	1	84700000	88100000
1p22.2	1	88100000	92000000
1p22.1	1	92000000	94500000
1p21.3	1	94500000	99400000
1p21.2	1	99400000	102000000
1p21.1	1	102000000	107000000
1p13.3	1	107000000	111600000
1p13.2	1	111600000	115900000
1p13.1	1	115900000	117600000
1p12	1	117600000	120700000
1p11.2	1	120700000	121100000
1p11.1	1	121100000	124300000
1q11	1	124300000	128000000
1q12	1	128000000	142400000
1q21.1	1	142400000	148000000
1q21.2	1	148000000	149600000
1q21.3	1	149600000	153300000
1q22	1	153300000	154800000
1q23.1	1	154800000	157300000
1q23.2	1	157300000	158800000
1q23.3	1	158800000	163800000
1q24.1	1	163800000	165500000
1q24.2	1	165500000	169100000
1q24.3	1	169100000	171200000
1q25.1	1	171200000	174300000
1q25.2	1	174300000	178600000
1q25.3	1	178600000	184000000
1q31.1	1	184000000	189000000
1q31.2	1	189000000	192100000
1q31.3	1	192100000	197500000
1q32.1	1	197500000	205300000
1q32.2	1	205300000	209500000
1q32.3	1	209500000	212100000
1q41	1	212100000	222100000
1q42.11	1	222100000	222700000
1q42.12	1	222700000	225100000
1q42.13	1	225100000	228800000
1q42.2	1	228800000	232700000
1q42.3	1	232700000	234600000
1q43	1	234600000	241700000
1q44	1	241700000	247249719
10p15.3	10	0	3000000
10p15.2	10	3000000	3800000
10p15.1	10	3800000	6700000
10p14	10	6700000	12300000
10p13	10	12300000	17300000
10p12.33	10	17300000	19900000
10p12.32	10	19900000	20500000
10p12.31	10	20500000	22800000
10p12.2	10	22800000	24100000
10p12.1	10	24100000	28300000
10p11.23	10	28300000	31400000
10p11.22	10	31400000	34500000
10p11.21	10	34500000	38800000
10p11.1	10	38800000	40300000
10q11.1	10	40300000	42100000
10q11.21	10	42100000	46100000
10q11.22	10	46100000	50100000
10q11.23	10	50100000	53300000
10q21.1	10	53300000	61200000
10q21.2	10	61200000	64800000
10q21.3	10	64800000	71300000
10q22.1	10	71300000	74600000
10q22.2	10	74600000	77400000
10q22.3	10	77400000	82000000
10q23.1	10	82000000	87900000
10q23.2	10	87900000	89600000
10q23.31	10	89600000	92900000
10q23.32	10	92900000	94200000
10q23.33	10	94200000	98000000
10q24.1	10	98000000	99400000
10q24.2	10	99400000	102000000
10q24.31	10	102000000	103000000
10q24.32	10	103000000	104900000
10q24.33	10	104900000	105700000
10q25.1	10	105700000	111800000
10q25.2	10	111800000	114900000
10q25.3	10	114900000	119100000
10q26.11	10	119100000	121700000
10q26.12	10	121700000	123100000
10q26.13	10	123100000	127400000
10q26.2	10	127400000	130500000
10q26.3	10	130500000	135374737
11p15.5	11	0	2800000
11p15.4	11	2800000	10700000
11p15.3	11	10700000	12600000
11p15.2	11	12600000	16100000
11p15.1	11	16100000	21600000
11p14.3	11	21600000	26000000
11p14.2	11	26000000	27200000
11p14.1	11	27200000	31000000
11p13	11	31000000	36400000
11p12	11	36400000	43400000
11p11.2	11	43400000	48800000
11p11.12	11	48800000	51400000
11p11.11	11	51400000	52900000
11q11	11	52900000	56400000
11q12.1	11	56400000	59700000
11q12.2	11	59700000	61400000
11q12.3	11	61400000	63100000
11q13.1	11	63100000	67100000
11q13.2	11	67100000	69200000
11q13.3	11	69200000	70700000
11q13.4	11	70700000	74900000
11q13.5	11	74900000	76700000
11q14.1	11	76700000	85300000
11q14.2	11	85300000	87900000
11q14.3	11	87900000	92300000
11q21	11	92300000	96700000
11q22.1	11	96700000	101600000
11q22.2	11	101600000	102400000
11q22.3	11	102400000	110000000
11q23.1	11	110000000	112800000
11q23.2	11	112800000	115400000
11q23.3	11	115400000	120700000
11q24.1	11	120700000	123500000
11q24.2	11	123500000	127400000
11q24.3	11	127400000	130300000
11q25	11	130300000	134452384
12p13.33	12	0	3100000
12p13.32	12	3100000	5300000
12p13.31	12	5300000	10000000
12p13.2	12	10000000	12600000
12p13.1	12	12600000	14800000
12p12.3	12	14800000	19900000
12p12.2	12	19900000	21200000
12p12.1	12	21200000	26300000
12p11.23	12	26300000	27700000
12p11.22	12	27700000	30600000
12p11.21	12	30600000	33200000
12p11.1	12	33200000	35400000
12q11	12	35400000	36500000
12q12	12	36500000	44600000
12q13.11	12	44600000	47400000
12q13.12	12	47400000	48400000
12q13.13	12	48400000	53100000
12q13.2	12	53100000	55200000
12q13.3	12	55200000	56300000
12q14.1	12	56300000	61400000
12q14.2	12	61400000	63400000
12q14.3	12	63400000	66000000
12q15	12	66000000	69800000
12q21.1	12	69800000	74100000
12q21.2	12	74100000	78700000
12q21.31	12	78700000	85100000
12q21.32	12	85100000	87500000
12q21.33	12	87500000	91200000
12q22	12	91200000	94800000
12q23.1	12	94800000	100000000
12q23.2	12	100000000	102400000
12q23.3	12	102400000	107500000
12q24.11	12	107500000	110200000
12q24.12	12	110200000	110800000
12q24.13	12	110800000	112800000
12q24.21	12	112800000	115300000
12q24.22	12	115300000	116700000
12q24.23	12	116700000	119100000
12q24.31	12	119100000	124500000
12q24.32	12	124500000	128700000
12q24.33	12	128700000	132349534
13p13	13	0	3800000
13p12	13	3800000	8300000
13p11.2	13	8300000	13500000
13p11.1	13	13500000	16000000
13q11	13	16000000	18400000
13q12.11	13	18400000	22200000
13q12.12	13	22200000	24400000
13q12.13	13	24400000	26700000
13q12.2	13	26700000	27800000
13q12.3	13	27800000	31100000
13q13.1	13	31100000	32900000
13q13.2	13	32900000	34700000
13q13.3	13	34700000	39500000
13q14.11	13	39500000	44300000
13q14.12	13	44300000	45900000
13q14.13	13	45900000	46200000
13q14.2	13	46200000	48900000
13q14.3	13	48900000	52200000
13q21.1	13	52200000	57600000
13q21.2	13	57600000	60500000
13q21.31	13	60500000	64100000
13q21.32	13	64100000	67200000
13q21.33	13	67200000	72100000
13q22.1	13	72100000	74200000
13q22.2	13	74200000	76000000
13q22.3	13	76000000	77800000
13q31.1	13	77800000	86500000
13q31.2	13	86500000	88800000
13q31.3	13	88800000	93800000
13q32.1	13	93800000	97000000
13q32.2	13	97000000	98100000
13q32.3	13	98100000	100500000
13q33.1	13	100500000	103700000
13q33.2	13	103700000	105800000
13q33.3	13	105800000	109100000
13q34	13	109100000	114142980
14p13	14	0	3100000
14p12	14	3100000	6700000
14p11.2	14	6700000	13600000
14p11.1	14	13600000	15600000
14q11.1	14	15600000	19100000
14q11.2	14	19100000	23600000
14q12	14	23600000	31800000
14q13.1	14	31800000	34100000
14q13.2	14	34100000	35600000
14q13.3	14	35600000	36900000
14q21.1	14	36900000	41000000
14q21.2	14	41000000	43200000
14q21.3	14	43200000	48300000
14q22.1	14	48300000	52300000
14q22.2	14	52300000	54400000
14q22.3	14	54400000	55800000
14q23.1	14	55800000	61200000
14q23.2	14	61200000	64000000
14q23.3	14	64000000	67000000
14q24.1	14	67000000	69300000
14q24.2	14	69300000	72900000
14q24.3	14	72900000	78400000
14q31.1	14	78400000	82600000
14q31.2	14	82600000	84000000
14q31.3	14	84000000	88900000
14q32.11	14	88900000	90500000
14q32.12	14	90500000	92800000
14q32.13	14	92800000	95400000
14q32.2	14	95400000	100400000
14q32.31	14	100400000	102200000
14q32.32	14	102200000	103000000
14q32.33	14	103000000	106368585
15p13	15	0	3500000
15p12	15	3500000	7900000
15p11.2	15	7900000	14100000
15p11.1	15	14100000	17000000
15q11.1	15	17000000	18400000
15q11.2	15	18400000	23300000
15q12	15	23300000	25700000
15q13.1	15	25700000	28000000
15q13.2	15	28000000	29000000
15q13.3	15	29000000	31400000
15q14	15	31400000	37900000
15q15.1	15	37900000	40700000
15q15.2	15	40700000	41400000
15q15.3	15	41400000	42700000
15q21.1	15	42700000	47600000
15q21.2	15	47600000	51100000
15q21.3	15	51100000	55800000
15q22.1	15	55800000	57100000
15q22.2	15	57100000	61500000
15q22.31	15	61500000	64900000
15q22.32	15	64900000	65000000
15q22.33	15	65000000	65300000
15q23	15	65300000	70400000
15q24.1	15	70400000	73100000
15q24.2	15	73100000	74400000
15q24.3	15	74400000	76100000
15q25.1	15	76100000	79500000
15q25.2	15	79500000	83000000
15q25.3	15	83000000	86900000
15q26.1	15	86900000	92100000
15q26.2	15	92100000	96300000
15q26.3	15	96300000	100338915
16p13.3	16	0	6300000
16p13.2	16	6300000	10300000
16p13.13	16	10300000	12500000
16p13.12	16	12500000	14700000
16p13.11	16	14700000	16700000
16p12.3	16	16700000	20500000
16p12.2	16	20500000	21700000
16p12.1	16	21700000	27600000
16p11.2	16	27600000	34400000
16p11.1	16	34400000	38200000
16q11.1	16	38200000	40700000
16q11.2	16	40700000	45500000
16q12.1	16	45500000	51200000
16q12.2	16	51200000	54500000
16q13	16	54500000	56700000
16q21	16	56700000	65200000
16q22.1	16	65200000	69400000
16q22.2	16	69400000	69800000
16q22.3	16	69800000	73300000
16q23.1	16	73300000	78200000
16q23.2	16	78200000	80500000
16q23.3	16	80500000	82700000
16q24.1	16	82700000	85600000
16q24.2	16	85600000	87200000
16q24.3	16	87200000	88827254
17p13.3	17	0	3600000
17p13.2	17	3600000	6800000
17p13.1	17	6800000	11200000
17p12	17	11200000	15900000
17p11.2	17	15900000	22100000
17p11.1	17	22100000	22200000
17q11.1	17	22200000	23200000
